Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
PTPN5	11p15.1	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
TLE4	9q21.31	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
SERPINA9	14q32.13	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
TRAPPC10	21q22.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
SLC7A11	4q28.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
HIRA	22q11.21	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
ZNF597	16p13.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
CORO2A	9q22.33	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
LGALS12	11q12.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
LRRCC1	8q21.2	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
SLC27A5	19q13.43	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
TUBB8	10p15.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
ZNF230	19q13.31	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
PRSS35	6q14.2	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
KRT32	17q21.2	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
KRT35	17q21.2	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
ATP8B2	1q21.3	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
SYNPO	5q33.1	11 (5.09%)	2 (1.32%)	1.94	0.0461	0.289	Co-occurrence	
LRP2	2q31.1	51 (23.61%)	24 (15.89%)	0.57	0.0461	0.289	Co-occurrence	
MYO15A	17p11.2	34 (15.74%)	14 (9.27%)	0.76	0.0477	0.299	Co-occurrence	
MED12L	3q25.1	34 (15.74%)	14 (9.27%)	0.76	0.0477	0.299	Co-occurrence	
ALK	2p23.2-p23.1	25 (11.57%)	9 (5.96%)	0.96	0.0480	0.300	Co-occurrence	
CAPN13	2p23.1	25 (11.57%)	9 (5.96%)	0.96	0.0480	0.300	Co-occurrence	
FLT3	13q12.2	25 (11.57%)	9 (5.96%)	0.96	0.0480	0.300	Co-occurrence	
PRRC2A	6p21.33	25 (11.57%)	9 (5.96%)	0.96	0.0480	0.300	Co-occurrence	
ATP10D	4p12	25 (11.57%)	9 (5.96%)	0.96	0.0480	0.300	Co-occurrence	
TP53	17p13.1	39 (18.06%)	17 (11.26%)	0.68	0.0497	0.308	Co-occurrence	
SAMD7	3q26.2	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
FGD5	3p25.1	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
COL24A1	1p22.3	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
ACSM1	16p12.3	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
CELSR1	22q13.31	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
CTNNA2	2p12	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
CELSR3	3p21.31	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
EYA4	6q23.2	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
FGFR2	10q26.13	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
PCDHA7	5q31.3	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
LUZP2	11p14.3	23 (10.65%)	8 (5.30%)	1.01	0.0499	0.308	Co-occurrence	
NEXMIF	Xq13.3	44 (20.37%)	20 (13.25%)	0.62	0.0503	0.308	Co-occurrence	
RALGAPA1	14q13.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
SLC6A19	5p15.33	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
KIAA1257	3q21.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ZNF418	19q13.43	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR51B6	11p15.4	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
CYP2S1	19q13.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TSPEAR	21q22.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
MTMR7	8p22	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PROX2	14q24.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
GALNTL5	7q36.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
STK33	11p15.4	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ATP1A4	1q23.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
DLGAP1	18p11.31	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
MYO1A	12q13.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
HFE2	1q21.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TMPRSS6	22q12.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ACOT11	1p32.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
GIGYF2	2q37.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
GLIS1	1p32.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR8I2	11q12.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PAM	5q21.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR8B2	11q24.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
NXPE4	11q23.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TBC1D8B	Xq22.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PLPPR1	9q31.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
KRTAP5-4	11p15.5	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
DOCK4	7q31.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
STYK1	12p13.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
IKZF3	17q12-q21.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PALD1	10q22.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
SEC24D	4q26	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
CYP19A1	15q21.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR5K3	3q11.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
EPHB4	7q22.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
DNAI2	17q25.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ZNF609	15q22.31	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
F11	4q35.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
MICALL2	7p22.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
AGAP1	2q37.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
GAS2	11p14.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PLEKHG2	19q13.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
SLIT1	10q24.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
SYK	9q22.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
STPG2	4q22.3-q23	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
RASSF6	4q13.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
CARD6	5p13.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ENTHD1	22q13.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
RAB11FIP1	8p11.23	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TECRL	4q13.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
EDC4	16q22.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TSC2	16p13.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
FLRT3	20p12.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR5B3	11q12.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
KIF15	3p21.31	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
DOCK7	1p31.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
TRIM15	6p22.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ANKRD36C	2q11.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ACTL8	1p36.13	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
KNG1	3q27.3	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
OR5V1	6p22.1	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
LCK	1p35.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
ZNF287	17p11.2	13 (6.02%)	3 (1.99%)	1.60	0.0505	0.308	Co-occurrence	
PRB2	12p13.2	32 (14.81%)	13 (8.61%)	0.78	0.0507	0.308	Co-occurrence	
SLCO1B3	12p12.2	32 (14.81%)	13 (8.61%)	0.78	0.0507	0.308	Co-occurrence	
ST6GAL2	2q12.3	32 (14.81%)	13 (8.61%)	0.78	0.0507	0.308	Co-occurrence	
KEL	7q34	32 (14.81%)	13 (8.61%)	0.78	0.0507	0.308	Co-occurrence	
NDST3	4q26	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
OR2W1	6p22.1	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
CPS1	2q34	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
NME8	7p14.1	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
SIM1	6q16.3	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
SLC6A13	12p13.33	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
PCDHB6	5q31.3	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
ATP8A1	4p13	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
FLRT2	14q31.3	21 (9.72%)	7 (4.64%)	1.07	0.0515	0.312	Co-occurrence	
MAGEA12	Xq28	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
LMTK3	19q13.33	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
OR10AG1	11q12.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
KIAA1211	4q12	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ACTN2	1q43	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
BCL9L	11q23.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CCDC146	7q11.23	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
NAALADL2	3q26.31	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ATP2A3	17p13.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
MYF5	12q21.31	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
DLG5	10q22.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ADGRB1	8q24.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
PCDH11Y	Yp11.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
NPR2	9p13.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CAMK4	5q22.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ZSCAN4	19q13.43	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ROR1	1p31.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
RASAL2	1q25.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CHD2	15q26.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
MROH8	20q11.23	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
KCNV1	8q23.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
SERPINA11	14q32.13	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CR1L	1q32.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
TJP3	19p13.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
PRKG1	10q11.23-q21.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
DRD2	11q23.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
SMG1	16p12.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
SP140L	2q37.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
ZC3H3	8q24.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CIC	19q13.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
GABRA2	4p12	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
MIA2	14q13.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
CYP3A43	7q22.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
BPIFB2	20q11.21	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
KBTBD8	3p14.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
GSDMC	8q24.21	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
RBM46	4q32.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
TEK	9p21.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
AKNA	9q32	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
TF	3q22.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
THBS4	5q14.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
PRPF8	17p13.3	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
HTR5A	7q36.2	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
MAATS1	3q13.33	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
KRT1	12q13.13	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
OR2B3	6p22.1	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
BCAM	19q13.32	15 (6.94%)	4 (2.65%)	1.39	0.0526	0.312	Co-occurrence	
LRRN1	3p26.2	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
FCRL3	1q23.1	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
SLCO1C1	12p12.2	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
AMPD3	11p15.4	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
ZNF98	19p12	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
MYT1	20q13.33	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
BRCA2	13q13.1	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
NTRK3	15q25.3	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
CSF2RA	Xp22.33 and Yp11.2	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
MMRN1	4q22.1	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
PTPRR	12q15	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
EPB41L2	6q23.1-q23.2	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
CD96	3q13.13-q13.2	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
MRVI1	11p15.4	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
THBS1	15q14	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
TLR5	1q41	19 (8.80%)	6 (3.97%)	1.15	0.0526	0.312	Co-occurrence	
PIK3AP1	10q24.1	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
PRR23B	3q23	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
MAP2	2q34	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CIITA	16p13.13	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
TC2N	14q32.12	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
DEUP1	11q21	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
MAP3K5	6q23.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
ADH1A	4q23	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
HFM1	1p22.2	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
GPR50	Xq28	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
NOS3	7q36.1	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
B4GALNT2	17q21.32	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
OR2L3	1q44	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CTCFL	20q13.31	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CYP2B6	19q13.2	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
FAM184A	6q22.31	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
RAC1	7p22.1	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
ZNF334	20q13.12	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
RAG2	11p12	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CNOT1	16q21	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
HHIP	4q31.21	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
MCTP1	5q15	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
OR7D2	19p13.2	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
TBC1D9	4q31.21	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
SULF1	8q13.2-q13.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
IQCH	15q23	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CFAP206	6q15	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
CADPS2	7q31.32	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
ABCA10	17q24.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
COL18A1	21q22.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
TAS1R2	1p36.13	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
ITGA7	12q13.2	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
KCNN3	1q21.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
SLCO5A1	8q13.3	17 (7.87%)	5 (3.31%)	1.25	0.0531	0.312	Co-occurrence	
SAMD9	7q21.2	37 (17.13%)	16 (10.60%)	0.69	0.0532	0.312	Co-occurrence	
CPAMD8	19p13.11	37 (17.13%)	16 (10.60%)	0.69	0.0532	0.312	Co-occurrence	
MYH13	17p13.1	30 (13.89%)	12 (7.95%)	0.81	0.0538	0.315	Co-occurrence	
TRIOBP	22q13.1	30 (13.89%)	12 (7.95%)	0.81	0.0538	0.315	Co-occurrence	
NLGN2	17p13.1	2 (0.93%)	6 (3.97%)	-2.10	0.0553	0.324	Mutual exclusivity	
ZNF814	19q13.43	2 (0.93%)	6 (3.97%)	-2.10	0.0553	0.324	Mutual exclusivity	
ARID2	12q12	35 (16.20%)	15 (9.93%)	0.71	0.0569	0.324	Co-occurrence	
HERC2	15q13.1	28 (12.96%)	11 (7.28%)	0.83	0.0569	0.324	Co-occurrence	
DUSP27	1q24.1	28 (12.96%)	11 (7.28%)	0.83	0.0569	0.324	Co-occurrence	
RBP3	10q11.22	28 (12.96%)	11 (7.28%)	0.83	0.0569	0.324	Co-occurrence	
TTN	2q31.2	162 (75.00%)	101 (66.89%)	0.17	0.0575	0.324	Co-occurrence	
XIRP2	2q24.3	75 (34.72%)	40 (26.49%)	0.39	0.0590	0.324	Co-occurrence	
KIF18A	11p14.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ESS2	22q11.21|22q11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RBM10	Xp11.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SAMD12	8q24.11-q24.12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
LEKR1	3q25.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
EVX2	2q31.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ACLY	17q21.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF530	19q13.43	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
MIA2	14q21.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ACTB	7p22.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
AHRR	5p15.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SCAMP5	15q24.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
MCM3	6p12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SLC24A4	14q32.12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ACTN3	11q13.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
C19ORF18	19q13.43	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
IGKV2-24	2p11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR1E1	17p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
KIAA1328	18q12.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
MAP3K3	17q23.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FEZF1	7q31.32	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
STIM2	4p15.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PPFIBP2	11p15.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ENC1	5q13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF599	19q13.11	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR10A4	11p15.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FAM160B1	10q25.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR5B2	11q12.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
SPATA17	1q41	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
HCFC2	12q23.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
AOC3	17q21.31	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PADI1	1p36.13	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ART1	11p15.4	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
WDR86	7q36.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
KCNQ4	1p34.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF429	19p12	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ASMT	Xp22.33 and Yp11.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TNKS	8p23.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
NEURL1	10q24.33	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
OR2T6	1q44	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
ZNF595	4p16.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
PLEKHA5	12p12.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
FAM105A	5p15.2	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
RAD54B	8q22.1	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
TPSG1	16p13.3	8 (3.70%)	1 (0.66%)	2.48	0.0595	0.324	Co-occurrence	
