Gene	Cytoband	Percentage of alteration(Altered)	Percentage of Alteration(Unaltered)	Log ratio	p-Value	q-Value	Direction/Tendency
NBPF22P	5q14.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NCBP3	17p13.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NDUFA9	12p13.32	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NEK10	3p24.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NFE2L1	17q21.32	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NGLY1	3p24.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NHP2	5q35.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NKIRAS1	3p24.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NKTR	3p22.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NR1D2	3p24.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
NUP210	3p25.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
OR9G1	11q12.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
OSBPL10	3p23	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
OSBPL8	12q21.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
OXSM	3p24.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
OXSR1	3p22.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
P2RX1	17p13.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PABPC4L	4q28.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PDCD2L	19q13.11	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PDE12	3p14.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PDLIM3	4q35.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PELP1	17p13.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PEX1	7q21.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PHOX2B	4p13	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PHYKPL	5q35.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PIGF	2p21	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PKD1L1	7p12.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PLCD1	3p22.2	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PNPO	17q21.32	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
POLK	5q13.3	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
POU4F2	4q31.22	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PRIMPOL	4q35.1	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
PRMT9	4q31.23	4 (1.86%)	0 (0.00%)	>10	0.116	0.659	Co-occurrence	
ZNF697	1p12	14 (6.51%)	5 (3.29%)	0.99	0.128	0.659	Co-occurrence	
CEP170	1q43	14 (6.51%)	5 (3.29%)	0.99	0.128	0.659	Co-occurrence	
LINC00622	1p12	14 (6.51%)	5 (3.29%)	0.99	0.128	0.659	Co-occurrence	
MIR4677	1q43	14 (6.51%)	5 (3.29%)	0.99	0.128	0.659	Co-occurrence	
WDR64	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
FH	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
GPR137B	1q42.3	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
KMO	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
RN7SKP12	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
RNA5SP81	--	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
CHML	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
ERO1B	1q42.3	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
EXO1	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
LYST	1q42.3	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
MAP1LC3C	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
MIR3123	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
NID1	1q42.3	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
OPN3	1q43	12 (5.58%)	4 (2.63%)	1.08	0.134	0.659	Co-occurrence	
FAM49B	8q24.21	11 (5.12%)	13 (8.55%)	-0.74	0.137	0.659	Mutual exclusivity	
MIR5194	8q24.21	11 (5.12%)	13 (8.55%)	-0.74	0.137	0.659	Mutual exclusivity	
TMPRSS6	22q12.3	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
ZFC3H1	12q21.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
GRIP1	12q14.3	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
IL2RB	22q12.3	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
SLC38A4	12q13.11	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
SSTR3	22q13.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
SYN3	22q12.3	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
TBC1D15	12q21.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
THAP2	12q21.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
TMEM19	12q21.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
RAB21	12q21.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
RAC2	22q13.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
RN7SL482P	3p14.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
AMIGO2	12q13.11	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
C1QTNF6	22q12.3	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
CYTH4	22q13.1	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
LNX1	4q12	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
NNT	5p12	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
PCED1B	12q13.11	6 (2.79%)	1 (0.66%)	2.08	0.138	0.659	Co-occurrence	
TSFM	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
ATP23	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
HCRTR2	6p12.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
AVIL	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
CTDSP2	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
CYP27B1	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
LINC00680	6p11.2	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
MARCH9	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
METTL1	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
EEF1AKMT3	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
MIR26A2	12q14.1	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
MIR548U	6p11.2	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
PRIM2	6p11.2	10 (4.65%)	3 (1.97%)	1.24	0.139	0.659	Co-occurrence	
ZNF717	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
FKBP1C	6q12	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
FRG2C	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
RN7SL424P	4q12	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
RN7SL92P	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
FAM86DP	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
LGSN	6q12	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
LINC00960	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
MIR1324	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
MIR4273	3p12.3	8 (3.72%)	2 (1.32%)	1.50	0.142	0.659	Co-occurrence	
COL14A1	8q24.12	10 (4.65%)	12 (7.89%)	-0.76	0.143	0.659	Mutual exclusivity	
TNFRSF11B	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
TRPS1	8q23.3	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
UTP23	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
SLC30A8	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
SNORA32	11q21	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
TAF2	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RAD21	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RN7SKP153	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RN7SL228P	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RN7SL396P	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RN7SL826P	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RNA5SP276	8q23.3	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
RNA5SP277	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
SAMD12	8q24.11-q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
AARD	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
COLEC10	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
CSMD3	8q23.3	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
DSCC1	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
EIF3H	8q23.3-q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
ENPP2	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
EXT1	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
LINC00536	8q23.3	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
MAL2	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
MED30	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
MIR3610	8q24.11	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
NOV	8q24.12	9 (4.19%)	11 (7.24%)	-0.79	0.150	0.659	Mutual exclusivity	
TRHR	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
KCNV1	8q23.2	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
SYBU	8q23.2	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
TMEM74	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
RNA5SP275	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
RSPO2	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
EBAG9	8q23.2	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
EIF3E	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
EMC2	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
ENY2	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
NUDCD1	8q23.1	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
PKHD1L1	8q23.1-q23.2	8 (3.72%)	10 (6.58%)	-0.82	0.158	0.659	Mutual exclusivity	
KIF26B	1q44	15 (6.98%)	6 (3.95%)	0.82	0.158	0.659	Co-occurrence	
USP35	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
GAB2	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
GAL	11q13.2	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
KCTD14	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
KCTD21	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
THRSP	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
RBX1	22q13.2	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
ALG8	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
CPT1A	11q13.3	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
TESMIN	11q13.3	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
NARS2	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
NDUFC2	11q14.1	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
PPP6R3	11q13.2	7 (3.26%)	9 (5.92%)	-0.86	0.165	0.659	Mutual exclusivity	
TRIM58	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
ZNF672	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
ZNF692	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
GCSAML	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
HSD3B1	1p12	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
SH3BP5L	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
LYPD8	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
MIR3124	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
NLRP3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR11L1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR13G1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR14A16	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR14A2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR14C36	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR14I1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR14K1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR1C1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2AJ1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2AK2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2B11	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2C3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2G2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2G3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2G6	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2L13	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2L2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2L3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2L5	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2L8	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2M2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2M3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2M4	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2M5	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2M7	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T10	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T11	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T12	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T27	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T29	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T33	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T34	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T35	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T4	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T5	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T6	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T7	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2T8	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2W3	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR2W5	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
OR6F1	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
PGBD2	1q44	13 (6.05%)	5 (3.29%)	0.88	0.169	0.659	Co-occurrence	
TNFRSF17	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TNP2	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TPST2	22q12.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TTLL11	9q33.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TVP23A	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TXNDC11	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
USP7	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
VTI1B	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
WBP11P1	18q12.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ZC3H7A	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ZCCHC7	9p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ZFYVE26	14q24.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ZNF79	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ZSCAN10	16p13.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
FLRT1	11q13.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
FRMPD2	10q11.22	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
GARNL3	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
GLUD1P2	10q11.22	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
GRHPR	9p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
GRIN2A	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
GSPT1	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
HAUS1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
HDHD2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
HIGD1C	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
HRASLS2	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
HRASLS5	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ICE2	15q22.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
IER3IP1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
INTS9	8p21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KATNAL2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KLF5	13q22.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KLHL14	18q12.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KRT5	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KRT71	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KRT72	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KRT73	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
KRT74	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SCN8A	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SHISA9	16p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SKA1	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SKOR2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SLC11A2	12q13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SLC22A10	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SLC22A9	11q12.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SLC2A8	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SLC4A8	12q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SMAD2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SMAD7	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNN	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNORA65	9q33.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNORD37	19p13.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNORD58A	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNORD58B	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNORD58C	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SNX29	16p13.13-p13.12	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SOCS1	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
SPANXN4	Xq27.3	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ST8SIA5	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ELOA2	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ELOA3	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ELOA3B	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
ELOA3D	18q21.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TEKT5	16p13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TFCP2	12q13.12-q13.13	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TGFBI	5q31.1	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TMEM114	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
TMEM186	16p13.2	0 (0.00%)	2 (1.32%)	<-10	0.171	0.659	Mutual exclusivity	
